,angle,distance,energy
6,0.7853981633974483,2,[0.51709786]
7,0.7853981633974483,3,[0.49260277]
8,0.7853981633974483,4,[0.48077452]
9,0.7853981633974483,5,[0.47327095]
10,1.5707963267948966,1,[0.51485486]
11,1.5707963267948966,2,[0.47988737]
12,1.5707963267948966,3,[0.47352643]
13,1.5707963267948966,4,[0.47096272]
14,1.5707963267948966,5,[0.46914214]
15,4.71238898038469,1,[0.51485486]
16,4.71238898038469,2,[0.47988737]
17,4.71238898038469,3,[0.47352643]
18,4.71238898038469,4,[0.47096272]
19,4.71238898038469,5,[0.46914214]
0,0.0,1,[0.12497781]
1,0.0,2,[0.11248904]
2,0.0,3,[0.11056457]
3,0.0,4,[0.10791883]
4,0.0,5,[0.10716994]
5,0.7853981633974483,1,[0.11804292]
6,0.7853981633974483,2,[0.11804292]
7,0.7853981633974483,3,[0.11316705]
8,0.7853981633974483,4,[0.11040958]
9,0.7853981633974483,5,[0.10775828]
10,1.5707963267948966,1,[0.12296058]
11,1.5707963267948966,2,[0.11388176]
12,1.5707963267948966,3,[0.11271389]
13,1.5707963267948966,4,[0.1104194]
14,1.5707963267948966,5,[0.10727036]
15,4.71238898038469,1,[0.12296058]
16,4.71238898038469,2,[0.11388176]
17,4.71238898038469,3,[0.11271389]
18,4.71238898038469,4,[0.1104194]
19,4.71238898038469,5,[0.10727036]
0,0.0,1,[0.67960069]
1,0.0,2,[0.67669629]
2,0.0,3,[0.67389899]
3,0.0,4,[0.67122495]
4,0.0,5,[0.66809705]
5,0.7853981633974483,1,[0.68104048]
6,0.7853981633974483,2,[0.68104048]
7,0.7853981633974483,3,[0.67224561]
8,0.7853981633974483,4,[0.66610161]
9,0.7853981633974483,5,[0.66011521]
10,1.5707963267948966,1,[0.6803067]
11,1.5707963267948966,2,[0.67648633]
12,1.5707963267948966,3,[0.67385846]
13,1.5707963267948966,4,[0.67121657]
14,1.5707963267948966,5,[0.66832192]
15,4.71238898038469,1,[0.6803067]
16,4.71238898038469,2,[0.67648633]
17,4.71238898038469,3,[0.67385846]
18,4.71238898038469,4,[0.67121657]
19,4.71238898038469,5,[0.66832192]
0,0.0,1,[0.36418356]
1,0.0,2,[0.36142192]
2,0.0,3,[0.3597936]
3,0.0,4,[0.3579711]
4,0.0,5,[0.35746398]
5,0.7853981633974483,1,[0.37613944]
6,0.7853981633974483,2,[0.37613944]
7,0.7853981633974483,3,[0.36164143]
8,0.7853981633974483,4,[0.35619019]
9,0.7853981633974483,5,[0.35234781]
